time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
255,1,0,0,0,0,0.171417,86,0,0,0,0,0,0,0,3096,0,0,197,0,0,3,0,0,0.0344021,424,0.0143147,424,0.0034081,424,0.0166166,424,0.015838,424,9.34e-005,424,0.0003706,26,0.0002182,53,0.0151149,424,0.0009987,424,0.0006044,424,0,0,0.0014759,19,0.0001669,424,0.0004864,424,0.0036616,424,0.0001336,424,4.06e-005,424,0.0073391,424,0.000904,424,0.0046399,424,0.0015694,424,39432,424
355,1,186,55.8,11.16,1.116,0.130569,0,0,0,0,0,0,0,0,3096,0,0,197,0,0,0,0,0,0.046523,624,0.0152131,624,0.0054863,624,0.0257428,624,0.0245977,624,0.0001419,624,0.0009452,46,0.0003106,78,0.0231383,624,0.0015777,624,0.0008791,624,0,0,0.0014759,19,0.0002474,624,0.0006955,624,0.0055564,624,0.0002252,624,5.88e-005,624,0.0121139,624,0.0016242,624,0.007655,624,0.0024551,624,64816,624
455,1,26,46.86,18.3,2.8344,0.103676,0,0,0,0,0,0,0,0,3096,0,0,197,0,0,0,0,0,0.0606169,824,0.015352,824,0.0076635,824,0.0375096,824,0.0359108,824,0.0002066,824,0.0012067,58,0.0004251,103,0.0339872,824,0.0023222,824,0.001203,824,0,0,0.0014759,19,0.000343,824,0.000886,824,0.0076553,824,0.0003106,824,8.03e-005,824,0.0192679,824,0.0028644,824,0.0122999,824,0.0035337,824,96816,824
555.5,1,15.4229,37.4289,22.1258,4.76354,0.123489,0,0,0,0,0,0,0,0,3096,0,0,197,0,0,0,0,0,0.0736099,1025,0.0154951,1025,0.0095289,1025,0.0484837,1025,0.0464566,1025,0.0002706,1025,0.0014718,71,0.000526,128,0.0440821,1025,0.0030116,1025,0.0015865,1025,0,0,0.0014759,19,0.0004276,1025,0.0010333,1025,0.0096141,1025,0.0003861,1025,0.0001025,1025,0.0258909,1025,0.0039087,1025,0.0167526,1025,0.0044426,1025,128976,1025
655,1,22.6131,32.9841,24.2974,6.71693,0.11985,0,0,0,0,0,0,0,0,3096,0,0,197,0,0,0,0,0,0.0868721,1224,0.0156441,1224,0.0115547,1224,0.0595594,1224,0.0570892,1224,0.0003302,1224,0.0017791,84,0.0006287,153,0.054223,1224,0.0036738,1224,0.0019235,1224,0,0,0.0014759,19,0.0005144,1224,0.0011892,1224,0.0116512,1224,0.0004779,1224,0.0001228,1224,0.0325271,1224,0.0050338,1224,0.0211554,1224,0.005395,1224,160816,1224
755,1,11,26.3889,24.7157,8.51681,0.0943069,0,0,0,0,0,0,0,0,3096,0,0,197,0,0,0,0,0,0.0963369,1424,0.0157826,1424,0.0132356,1424,0.0671928,1424,0.0643679,1424,0.0003862,1424,0.0023025,108,0.0007253,178,0.0608053,1424,0.0042345,1424,0.0021959,1424,0,0,0.0014759,19,0.0005892,1424,0.0014089,1424,0.0133777,1424,0.0005499,1424,0.0001426,1424,0.0360635,1424,0.0055181,1424,0.0232696,1424,0.0062377,1424,179711,1424
855,1,13,22.3722,24.247,10.0898,0.17144,0,0,0,0,0,0,0,0,3096,0,0,197,0,0,0,0,0,0.109819,1624,0.016,1624,0.0158247,1624,0.0778524,1624,0.0744288,1624,0.000464,1624,0.0026069,120,0.000879,203,0.0703048,1624,0.0050517,1624,0.0026061,1624,0,0,0.0014759,19,0.0006956,1624,0.0015868,1624,0.0158821,1624,0.0006444,1624,0.0001638,1624,0.041291,1624,0.0063511,1624,0.0263771,1624,0.0074031,1624,197511,1624
955,1,0,15.6606,22.5297,11.3338,0.164104,0,0,0,0,0,0,0,0,3096,0,0,197,0,0,0,0,0,0.122033,1824,0.0161959,1824,0.0182936,1824,0.0873904,1824,0.0835169,1824,0.000533,1824,0.0028369,133,0.0009934,228,0.0789493,1824,0.005733,1824,0.0029847,1824,0,0,0.0014759,19,0.0007948,1824,0.0017491,1824,0.0181153,1824,0.0007491,1824,0.0001824,1824,0.046136,1824,0.0070612,1824,0.0292724,1824,0.0085103,1824,215311,1824
1055,1,10,13.9624,20.8163,12.2821,0.0936394,27,13.0574,0.193405,0.290083,0.00375316,0.00330384,8.2568,0,99,13,0,197,0,0,0,0,0,0.135972,2024,0.0190665,2024,0.0202148,2024,0.096526,2024,0.0922441,2024,0.0006048,2024,0.0030833,147,0.0011196,253,0.0872066,2024,0.0063287,2024,0.0032989,2024,0,0,0.0015195,21,0.000894,2024,0.0019048,2024,0.0199939,2024,0.0008322,2024,0.0002022,2024,0.0510937,2024,0.007765,2024,0.0324753,2024,0.0094488,2024,233111,2024
1155,1,0,9.77367,18.6077,12.9146,0.107771,28,6.50063,0.51259,0.150525,0.00394788,0.00451725,8.63187,0,56,11,0,197,0,0,0,0,0,0.144984,2224,0.0197112,2224,0.0217544,2224,0.103343,2224,0.0986797,2224,0.000654,2224,0.0032595,160,0.0012018,278,0.0933115,2224,0.0067826,2224,0.0035868,2224,0,0,0.0015195,21,0.0009749,2224,0.002097,2224,0.0215747,2224,0.0009026,2224,0.0002262,2224,0.0543907,2224,0.0082065,2224,0.0344137,2224,0.0102713,2224,250911,2224
